|X_Positions|Y_Positions
565|[175.445105]|[218.27950196]
566|[175.445105]|[218.27950196]
567|[175.94111593]|[219.69511956]
568|[176.41982198]|[221.11668226]
569|[176.41982198]|[221.11668226]
570|[176.75112795]|[222.57963692]
571|[176.75112795]|[222.57963692]
572|[176.9128997]|[224.07088804]
573|[176.9128997]|[224.07088804]
574|[176.9128997]|[224.07088804]
575|[176.94147836]|[225.57061577]
576|[176.94147836]|[225.57061577]
577|[177.09429877]|[227.06281077]
578|[177.09429877]|[227.06281077]
579|[177.3963285]|[228.53208884]
580|[177.3963285]|[228.53208884]
581|[177.62240894]|[230.01495351]
582|[177.62240894]|[230.01495351]
583|[177.76419697]|[231.50823719]
584|[177.76419697]|[231.50823719]
585|[177.8643752]|[233.00488823]
586|[177.8643752]|[233.00488823]
587|[177.8643752]|[233.00488823]
588|[178.1552746]|[234.47641041]
589|[178.1552746]|[234.47641041]
590|[178.1552746]|[234.47641041]
591|[178.75480958]|[235.85138598]
592|[178.75480958]|[235.85138598]
593|[178.75480958]|[235.85138598]
594|[179.1627027]|[237.29486206]
595|[179.1627027]|[237.29486206]
596|[179.93535677]|[238.58055475]
597|[179.93535677]|[238.58055475]
598|[179.93535677]|[238.58055475]
599|[179.93535677]|[238.58055475]
600|[179.93535677]|[238.58055475]
601|[179.93535677]|[238.58055475]
602|[179.93535677]|[238.58055475]
603|[179.93535677]|[238.58055475]
604|[179.93535677]|[238.58055475]
605|[180.13961101]|[240.06658308]
606|[180.13961101]|[240.06658308]
607|[180.13961101]|[240.06658308]
608|[180.13961101]|[240.06658308]
609|[179.58223009]|[241.45918012]
610|[179.58223009]|[241.45918012]
611|[179.58223009]|[241.45918012]
612|[179.58223009]|[241.45918012]
613|[179.58223009]|[241.45918012]
614|[178.35202546]|[242.31743217]
615|[177.15990936]|[243.22784921]
616|[177.15990936]|[243.22784921]
617|[175.89232193]|[244.02986051]
618|[174.51177575]|[244.61645428]
619|[174.51177575]|[244.61645428]
620|[174.51177575]|[244.61645428]
621|[173.04698151]|[244.93952986]
622|[171.60488247]|[245.35226508]
623|[171.60488247]|[244.35226508]
624|[170.13066512]|[244.07534778]
625|[170.13066512]|[244.07534778]
626|[168.73554416]|[244.62638092]
627|[167.33360101]|[245.15981825]
628|[167.33360101]|[244.15981825]
629|[167.33360101]|[244.15981825]
630|[165.87195862]|[244.4968665]
631|[165.87195862]|[244.4968665]
632|[164.39334418]|[244.74925382]
633|[162.90320948]|[244.92100527]
634|[161.4038441]|[244.9646339]
635|[159.90436883]|[244.92496123]
636|[158.40674312]|[244.8405975]
637|[156.91111951]|[244.72609862]
638|[155.43058893]|[244.48520605]
639|[153.99572279]|[244.04798855]
640|[152.6625118]|[243.36056695]
641|[152.6625118]|[243.36056695]
642|[151.65840128]|[242.24622316]
643|[150.77069499]|[241.03710053]
644|[150.77069499]|[241.03710053]
645|[150.00177766]|[239.74916958]
646|[150.00177766]|[239.74916958]
647|[151.35629648]|[239.10474831]
648|[152.65963608]|[238.36224855]
649|[153.79939838]|[237.38708606]
650|[153.79939838]|[237.38708606]
651|[154.53435367]|[236.07947728]
652|[154.53435367]|[236.07947728]
653|[154.4824442]|[234.58037574]
654|[154.4824442]|[234.58037574]
655|[155.20349943]|[233.26505094]
656|[155.20349943]|[233.26505094]
657|[156.19224622]|[232.1370528]
658|[156.19224622]|[232.1370528]
659|[156.91680649]|[230.82365552]
660|[156.91680649]|[230.82365552]
661|[157.38121323]|[229.39735739]
662|[157.38121323]|[229.39735739]
663|[157.38121323]|[229.39735739]
664|[157.29051254]|[227.9001021]
665|[157.29051254]|[227.9001021]
666|[157.49608378]|[226.41425539]
667|[157.5940142]|[224.91745559]
668|[157.5940142]|[224.91745559]
669|[157.5940142]|[224.91745559]
670|[157.15701255]|[223.48252369]
671|[156.09373417]|[222.4244882]
672|[156.09373417]|[222.4244882]
673|[154.68218394]|[221.91701806]
674|[154.68218394]|[221.91701806]
675|[153.42792397]|[221.0943201]
676|[153.42792397]|[221.0943201]
677|[153.42792397]|[221.0943201]
678|[152.16433484]|[220.28602404]
679|[150.99718545]|[219.34381267]
680|[150.99718545]|[219.34381267]
681|[152.21870029]|[218.47323728]
682|[153.4648317]|[217.63827831]
683|[154.67432005]|[216.75107037]
684|[155.78359027]|[215.74135774]
685|[156.71195285]|[214.56316297]
686|[155.95656167]|[213.26725242]
687|[154.73112246]|[212.40220979]
688|[154.73112246]|[212.40220979]
689|[154.73112246]|[212.40220979]
690|[155.60042372]|[211.17978788]
691|[155.60042372]|[211.17978788]
692|[155.60042372]|[211.17978788]
693|[155.60042372]|[211.17978788]
694|[155.45117988]|[209.68723092]
695|[155.23192356]|[208.20334188]
696|[155.23192356]|[208.20334188]
697|[154.62455899]|[206.83180688]
698|[154.62455899]|[206.83180688]
699|[153.65773557]|[205.6849623]
700|[153.65773557]|[205.6849623]
701|[153.65773557]|[205.6849623]
702|[152.32861246]|[204.98966973]
703|[152.32861246]|[204.98966973]
704|[151.18695453]|[204.0167272]
705|[150.28395717]|[202.81898108]
706|[150.28395717]|[202.81898108]
707|[149.56844431]|[201.50063312]
708|[148.85291704]|[200.18229297]
709|[148.85291704]|[200.18229297]
710|[148.13732399]|[198.86398854]
711|[148.13732399]|[198.86398854]
712|[147.42166775]|[197.5457184]
713|[147.42166775]|[197.5457184]
714|[147.42166775]|[197.5457184]
715|[146.70592669]|[196.22749432]
716|[145.99016711]|[194.9092803]
717|[145.27438299]|[193.59107959]
718|[144.55857297]|[192.27289295]
719|[143.84272989]|[190.95472427]
720|[143.12685342]|[189.63657371]
721|[142.41094269]|[188.31844177]
722|[141.69499696]|[187.00032883]
723|[140.97901938]|[185.6822332]
724|[140.26301636]|[184.36415138]
725|[139.54699231]|[183.04608099]
726|[138.83094545]|[181.72802299]
727|[138.11487769]|[180.40997634]
728|[137.39879086]|[179.09194005]
729|[136.68268137]|[177.77391608]
730|[135.96654891]|[176.45590458]
731|[135.25039566]|[175.13790438]
732|[134.53422613]|[173.81991303]
733|[133.81804393]|[172.50192856]
734|[133.10184437]|[171.18395353]
735|[132.3856283]|[169.86598747]
736|[131.66939439]|[168.5480311]
737|[130.95314769]|[167.23008169]
738|[130.23688084]|[165.91214322]
739|[129.52059919]|[164.59421279]
740|[128.80430298]|[163.27629029]
741|[128.08798807]|[161.95837794]
742|[127.37164913]|[160.64047866]
743|[126.6552896]|[159.32259057]
744|[125.93891576]|[158.00471025]
745|[125.22252634]|[156.68683841]
746|[124.50612553]|[155.36897276]
747|[123.78971321]|[154.05111336]
748|[123.07329377]|[152.73325783]
749|[122.3568597]|[151.41541026]
750|[121.6404123]|[150.09756993]
751|[120.92395707]|[148.77973387]
752|[120.20749623]|[147.46190085]
753|[119.4910288]|[146.14407141]
754|[118.77455788]|[144.82624388]
755|[118.05808191]|[143.50841908]
756|[117.34160257]|[142.19059612]
757|[116.62512]|[140.87277492]
758|[115.90863609]|[139.55495444]
759|[115.192147]|[138.23713678]
760|[114.47564216]|[136.91932768]
761|[113.75910489]|[135.60153622]
762|[113.04253065]|[134.28376486]
763|[112.32591067]|[132.96601838]
764|[111.6092341]|[131.64830267]
765|[110.89250037]|[130.33061804]
766|[110.17570501]|[129.01296694]
767|[109.45883336]|[127.69535735]
768|[108.74187252]|[126.37779629]
769|[108.02479682]|[125.06029774]
770|[107.30760399]|[123.74286294]
771|[106.59028585]|[122.42549637]
772|[105.87284428]|[121.10819701]
773|[105.17251453]|[119.78172114]
774|[104.49403748]|[118.44393607]
