|dog_x_positions|dog_y_positions
597|[186.06794158]|[183.09918461]
598|[185.69968333]|[184.55327741]
599|[185.34083876]|[186.00972191]
600|[184.96080256]|[187.460781]
601|[184.58098676]|[188.91189779]
602|[184.20875222]|[190.36497778]
603|[183.86789478]|[191.82573656]
604|[183.57696591]|[193.29725292]
605|[183.29030282]|[194.76960623]
606|[183.02364353]|[196.24571355]
607|[182.75865031]|[197.72212088]
608|[182.45653499]|[199.19138135]
609|[182.10794209]|[200.65031349]
610|[181.69377953]|[202.09200325]
611|[181.23701419]|[203.52076685]
612|[180.77042401]|[204.9463522]
613|[180.29258832]|[206.3682077]
614|[180.29258832]|[206.3682077]
615|[180.29258832]|[206.3682077]
616|[179.82283702]|[207.79275455]
617|[179.37012284]|[209.22280695]
618|[179.37012284]|[209.22280695]
619|[178.83972105]|[210.62590137]
620|[178.28911032]|[212.02118909]
621|[178.28911032]|[212.02118909]
622|[177.68859763]|[213.39573792]
623|[177.68859763]|[213.39573792]
624|[177.22953315]|[214.82376447]
625|[176.81224034]|[216.2645513]
626|[176.81224034]|[216.2645513]
627|[176.81224034]|[216.2645513]
628|[176.81224034]|[216.2645513]
629|[176.79461334]|[217.76444773]
630|[176.79461334]|[217.76444773]
631|[176.25322378]|[219.1633392]
632|[175.76105454]|[220.58029701]
633|[175.76105454]|[220.58029701]
634|[175.40180079]|[222.03664063]
635|[175.40180079]|[222.03664063]
636|[174.88746035]|[223.44570199]
637|[174.88746035]|[223.44570199]
638|[174.46976479]|[224.88637212]
639|[174.46976479]|[224.88637212]
640|[174.46976479]|[224.88637212]
641|[174.46976479]|[224.88637212]
642|[173.96065953]|[226.29733344]
643|[173.96065953]|[226.29733344]
644|[173.35337679]|[227.66890468]
645|[173.35337679]|[227.66890468]
646|[172.66436339]|[229.00129371]
647|[171.98250649]|[230.33735927]
648|[171.98250649]|[230.33735927]
649|[171.98250649]|[230.33735927]
650|[171.27568292]|[231.66038627]
651|[171.27568292]|[231.66038627]
652|[170.50437572]|[232.94688742]
653|[170.50437572]|[232.94688742]
654|[170.16424369]|[234.40781527]
655|[169.45193633]|[235.72789793]
656|[169.45193633]|[235.72789793]
657|[168.42590465]|[236.82209124]
658|[167.38362159]|[237.9008155]
659|[167.38362159]|[237.9008155]
660|[167.38362159]|[237.9008155]
661|[167.00106728]|[239.35121275]
662|[167.00106728]|[239.35121275]
663|[166.23701333]|[240.6420348]
664|[166.23701333]|[240.6420348]
665|[166.23701333]|[240.6420348]
666|[164.93500584]|[241.386868]
667|[164.93500584]|[241.386868]
668|[164.93500584]|[241.386868]
669|[164.93500584]|[241.386868]
670|[163.66743285]|[242.18890212]
671|[163.66743285]|[242.18890212]
672|[163.66743285]|[242.18890212]
673|[162.33191624]|[242.87183358]
674|[160.9205762]|[243.379888]
675|[159.53878184]|[243.96353545]
676|[159.53878184]|[243.96353545]
677|[159.53878184]|[243.96353545]
678|[158.09498225]|[244.37028197]
679|[156.67662371]|[244.85839983]
680|[156.67662371]|[244.85839983]
681|[155.18111868]|[244.97443745]
682|[155.18111868]|[244.97443745]
683|[153.714822]|[245.29062415]
684|[152.22376468]|[244.45417255]
685|[152.22376468]|[244.45417255]
686|[150.72974403]|[244.58797198]
687|[149.23052438]|[244.63634998]
688|[149.23052438]|[244.63634998]
689|[149.23052438]|[244.63634998]
690|[147.73096537]|[244.67272003]
691|[146.23147263]|[244.63371316]
692|[144.74259876]|[244.45135473]
693|[144.74259876]|[244.45135473]
694|[143.34292506]|[243.91199072]
695|[141.98220279]|[243.28077373]
696|[141.98220279]|[243.28077373]
697|[140.91458511]|[242.22711701]
698|[139.93543607]|[241.09077764]
699|[139.93543607]|[241.09077764]
700|[139.93543607]|[241.09077764]
701|[139.85853375]|[239.59275026]
702|[139.84298041]|[238.0928309]
703|[139.84298041]|[238.0928309]
704|[139.84298041]|[238.0928309]
705|[140.17960549]|[236.63109099]
706|[141.15533326]|[235.49181257]
707|[142.31562629]|[234.54117063]
708|[142.31562629]|[234.54117063]
