|X_Positions|Y_Positions
515|[124.24671876]|[91.83195108]
516|[124.4827828]|[90.35064295]
517|[124.71884289]|[88.86933419]
518|[124.93560941]|[87.3850794]
519|[125.16343266]|[85.90248149]
520|[125.38263209]|[84.41858405]
521|[125.60925103]|[82.93580158]
522|[125.8616638]|[81.45719149]
523|[126.13039034]|[79.98145912]
524|[126.43191264]|[78.51207683]
525|[126.73172684]|[77.04234507]
526|[127.03740178]|[75.57382104]
527|[127.32642879]|[74.10192995]
528|[127.61701715]|[72.63034631]
529|[127.93631399]|[71.16472374]
530|[128.26064631]|[69.70020725]
531|[128.59749946]|[68.23851988]
532|[128.97199358]|[66.7860206]
533|[129.36253977]|[65.33775486]
534|[129.79343775]|[63.90097828]
535|[130.18126727]|[62.45198268]
536|[130.57623004]|[61.00491515]
537|[130.93347505]|[59.54807748]
538|[131.28204126]|[58.08913896]
539|[131.65451028]|[56.63611906]
540|[131.99891459]|[55.17619247]
541|[132.35842906]|[53.71991319]
542|[132.76671426]|[52.27654795]
543|[133.28770954]|[50.8699336]
544|[133.88931645]|[49.49586333]
545|[134.34564723]|[48.06696088]
546|[134.98534616]|[46.71020545]
547|[135.70146296]|[45.39218545]
548|[136.48973649]|[44.11600958]
549|[137.36896223]|[42.90070629]
550|[137.36896223]|[42.90070629]
551|[137.95304803]|[41.51909716]
552|[137.95304803]|[41.51909716]
553|[138.56713558]|[40.15055908]
554|[139.24529819]|[38.81261458]
555|[139.24529819]|[38.81261458]
556|[140.09626658]|[37.57736044]
557|[140.09626658]|[37.57736044]
558|[141.01094285]|[36.38850918]
559|[141.97574902]|[35.23996704]
560|[143.03239526]|[34.17530807]
561|[144.2101129]|[33.24634027]
562|[144.2101129]|[33.24634027]
563|[144.2101129]|[33.24634027]
564|[144.2101129]|[33.24634027]
565|[145.64473591]|[32.80832564]
566|[147.10593994]|[32.469382]
567|[147.10593994]|[32.469382]
568|[148.59597526]|[32.29677046]
569|[150.08748833]|[32.13743201]
570|[151.5857051]|[32.06431205]
571|[151.5857051]|[32.06431205]
572|[151.5857051]|[32.06431205]
573|[153.08237106]|[32.16426699]
574|[154.58091204]|[32.2304103]
575|[154.58091204]|[32.2304103]
576|[156.01787661]|[32.66068094]
577|[156.01787661]|[32.66068094]
578|[157.44012044]|[33.13735953]
579|[158.82092144]|[33.72335321]
580|[158.82092144]|[33.72335321]
581|[159.82837483]|[34.8346757]
582|[159.82837483]|[34.8346757]
583|[161.00496902]|[35.76506601]
584|[162.12467601]|[36.76319238]
585|[162.12467601]|[36.76319238]
586|[163.17758034]|[37.83155208]
587|[163.17758034]|[37.83155208]
588|[163.72173539]|[39.22937013]
589|[163.72173539]|[39.22937013]
590|[164.48629106]|[40.51989507]
591|[164.48629106]|[40.51989507]
592|[165.15757423]|[41.86130437]
593|[165.88258334]|[43.17445393]
594|[165.88258334]|[43.17445393]
595|[166.30408085]|[44.61401632]
596|[166.8028802]|[46.0286538]
597|[166.8028802]|[46.0286538]
598|[167.49550206]|[47.3591706]
599|[167.49550206]|[47.3591706]
600|[167.49550206]|[47.3591706]
601|[167.13130619]|[48.81428619]
602|[167.13130619]|[48.81428619]
603|[166.76709781]|[50.26939864]
604|[166.40288816]|[51.72451078]
605|[166.40288816]|[51.72451078]
606|[166.03866453]|[53.17961942]
607|[166.03866453]|[53.17961942]
608|[165.67442423]|[54.63472388]
609|[165.67442423]|[54.63472388]
610|[165.31016355]|[56.08982325]
611|[165.31016355]|[56.08982325]
612|[164.94588938]|[57.54491923]
613|[164.58160808]|[59.00001343]
614|[164.58160808]|[59.00001343]
615|[164.21728754]|[60.45509781]
616|[163.85295894]|[61.91018017]
617|[163.4886209]|[63.36526016]
618|[163.12985945]|[64.82172514]
619|[162.77335763]|[66.27874486]
620|[162.41775879]|[67.73598521]
621|[162.06251555]|[69.1933123]
622|[161.70740606]|[70.65067199]
623|[161.35234257]|[72.10804288]
624|[160.99728983]|[73.56541639]
625|[160.6422355]|[75.02278951]
626|[160.28717197]|[76.4801604]
627|[159.93209574]|[77.93752819]
628|[159.5770089]|[79.39489339]
629|[159.22191317]|[80.85225643]
630|[158.86681575]|[82.30961905]
631|[158.51755575]|[83.76839164]
632|[158.17066691]|[85.22772989]
633|[157.82474052]|[86.68729658]
634|[157.479201]|[88.14695491]
635|[157.13381208]|[89.60664888]
636|[156.78847709]|[91.06635562]
637|[156.44565717]|[92.52665507]
638|[156.10385262]|[93.98719253]
639|[155.76245103]|[95.44782422]
640|[155.42119657]|[96.9084903]
641|[155.07998375]|[98.36916611]
642|[154.73877527]|[99.82984293]
643|[154.39754808]|[101.29051538]
644|[155.79673513]|[100.74989018]
645|[156.91060977]|[99.74525926]
646|[157.86190226]|[98.58549955]
647|[158.73917806]|[97.36878792]
648|[159.58461896]|[96.12974406]
649|[160.41659959]|[94.88162218]
650|[161.24293764]|[93.6297574]
651|[162.06690024]|[92.37632785]
652|[162.88984508]|[91.12222986]
653|[163.71234681]|[89.8678412]
654|[164.53465097]|[88.61332302]
655|[165.36282253]|[87.36267044]
656|[166.18060566]|[86.10520046]
657|[167.00326507]|[84.85091521]
658|[167.81126822]|[83.58713876]
659|[168.5330078]|[82.27218934]
660|[169.32325014]|[80.99723167]
661|[170.12921121]|[79.73215193]
662|[170.92168389]|[78.45857938]
663|[171.72513583]|[77.19190461]
664|[172.521697]|[75.92088521]
665|[173.29901108]|[74.63800454]
666|[174.04098127]|[73.33436339]
667|[174.73726744]|[72.00576053]
668|[175.4410507]|[70.68111373]
669|[176.13419762]|[69.35087039]
670|[176.82259563]|[68.01816331]
671|[177.54038827]|[66.70105522]
672|[178.25432404]|[65.38185253]
673|[178.97614426]|[64.06694738]
674|[179.71932185]|[62.76399416]
675|[180.43779124]|[61.44725511]
676|[181.24746027]|[60.1845453]
677|[182.00198249]|[58.88812862]
678|[182.76465535]|[57.59649008]
679|[183.54294034]|[56.3141982]
680|[184.28692794]|[55.01170734]
681|[185.01000767]|[53.69749437]
682|[185.75063967]|[52.3930925]
683|[186.5152407]|[51.10259443]
684|[187.33100841]|[49.84381604]
685|[188.11478571]|[48.56487384]
686|[188.93428494]|[47.30852158]
687|[189.91526558]|[46.17376302]
688|[191.00076691]|[45.13853993]
689|[191.00076691]|[45.13853993]
690|[192.14245217]|[44.16562946]
691|[193.25610644]|[43.16075427]
692|[193.25610644]|[43.16075427]
693|[194.12969767]|[41.94139445]
694|[194.12969767]|[41.94139445]
695|[194.12969767]|[41.94139445]
696|[194.12969767]|[41.94139445]
697|[195.18457995]|[40.87498769]
698|[196.24377216]|[39.81286158]
699|[196.24377216]|[39.81286158]
700|[197.33543899]|[38.78414222]
701|[198.4363558]|[37.76532812]
702|[198.4363558]|[37.76532812]
703|[198.4363558]|[37.76532812]
704|[199.6517814]|[36.88627146]
705|[199.6517814]|[36.88627146]
706|[200.85792202]|[35.99451768]
707|[200.85792202]|[35.99451768]
708|[202.16377483]|[35.25644692]
709|[202.16377483]|[35.25644692]
710|[202.16377483]|[35.25644692]
711|[203.42630734]|[34.44650145]
712|[203.42630734]|[34.44650145]
713|[204.73283347]|[33.70962325]
714|[204.73283347]|[33.70962325]
715|[206.18059261]|[33.31720323]
716|[207.63566312]|[32.95282735]
717|[207.63566312]|[32.95282735]
718|[209.11402813]|[32.69898308]
719|[210.59056899]|[32.43473493]
720|[210.59056899]|[32.43473493]
721|[210.59056899]|[32.43473493]
722|[212.00731791]|[31.94196469]
723|[213.48389015]|[31.67789195]
724|[213.48389015]|[31.67789195]
725|[214.96661093]|[31.45086975]
726|[214.96661093]|[31.45086975]
727|[214.96661093]|[31.45086975]
728|[216.46327971]|[31.55078258]
729|[217.95941261]|[31.6584224]
730|[219.44646996]|[31.85504503]
731|[219.44646996]|[31.85504503]
732|[220.92882987]|[32.08441176]
733|[222.39289606]|[32.41077076]
734|[223.8116237]|[32.89781477]
735|[223.8116237]|[32.89781477]
736|[225.06799518]|[33.71728455]
737|[225.06799518]|[33.71728455]
738|[225.06799518]|[33.71728455]
739|[226.30131927]|[34.57104778]
740|[227.48192133]|[35.49634708]
741|[227.48192133]|[35.49634708]
742|[228.3319773]|[36.73222929]
743|[229.10479376]|[38.01782438]
744|[229.10479376]|[38.01782438]
745|[229.65868988]|[39.41181114]
746|[230.31779851]|[40.75924419]
747|[230.31779851]|[40.75924419]
748|[230.90471518]|[42.13965312]
749|[230.90471518]|[42.13965312]
750|[231.62765609]|[43.45394245]
751|[231.62765609]|[43.45394245]
752|[231.87224635]|[44.93386664]
753|[231.9947916]|[46.42885248]
754|[231.9947916]|[46.42885248]
755|[231.42723048]|[47.81733164]
756|[231.42723048]|[47.81733164]
757|[230.75596983]|[49.1587522]
758|[230.01006088]|[50.4601437]
759|[230.01006088]|[50.4601437]
760|[230.01006088]|[50.4601437]
761|[229.27669696]|[51.76864566]
762|[228.52234522]|[53.06516154]
763|[228.52234522]|[53.06516154]
764|[227.51215729]|[54.17399893]
765|[227.51215729]|[54.17399893]
766|[226.57660528]|[55.34649304]
767|[226.57660528]|[55.34649304]
768|[225.91773657]|[56.69404342]
769|[225.24082112]|[58.03261933]
770|[225.24082112]|[58.03261933]
771|[224.60859198]|[59.39287163]
772|[223.93854199]|[60.73489734]
773|[223.93854199]|[60.73489734]
774|[222.9403822]|[61.85457454]
